Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation
183,18,3,220520,224037,42.17121938,-90.10874532,4298,97.7,10.2,-0.514,1,206.10059
184,18,4,220520,224038,42.17121373,-90.10868966,4019,97.8,9,-0.617,1,206.10059
185,18,5,220520,224039,42.17121037,-90.10865563,3957,97.6,5.5,-1.801,1,206.7002
186,18,6,220520,224040,42.17120988,-90.10865068,4202,97.6,0.8,-2.418,1,206.7002
187,18,7,220520,224041,42.17121173,-90.10865068,4307,0,0.4,-0.206,1,206.7002
188,18,8,220520,224042,42.17121265,-90.10865068,4157,0,0.2,-0.103,1,206.7002
189,18,9,220520,224043,42.17121,-90.10866,3972,249,1.6,0.72,1,206.7002
190,19,0,220520,224038,42.17126062,-90.10903305,3944,98.5,12.3,5.505,-5,204.10059
191,19,1,220520,224039,42.17125237,-90.10895582,4542,98.2,12.5,0.103,1,205
192,19,2,220520,224040,42.17124307,-90.10887754,4392,99.1,12.7,0.103,1,205.7002
193,19,3,220520,224041,42.17123325,-90.10879748,4127,99.4,13,0.154,1,206.2998
194,19,4,220520,224042,42.1712235,-90.10871803,3690,99.4,12.9,-0.051,1,206.10059
195,19,5,220520,224043,42.17121355,-90.10863863,3895,99.6,12.9,0,1,206.7002
196,19,6,220520,224044,42.17121348,-90.10865798,4163,269.7,3.1,-5.042,1,206.7002
197,19,7,220520,224045,42.17121516,-90.10868974,4078,274.1,5.1,1.029,1,206.10059
198,19,8,220520,224046,42.17121755,-90.10872893,3911,274.7,6.3,0.617,1,206.10059
199,19,9,220520,224047,42.17122,-90.10877,4032,274.6,6.6,0.154,1,205.5
200,20,0,220520,224059,42.17124828,-90.10898209,4291,274.8,5.5,0,12,205
201,20,1,220520,224100,42.17124712,-90.10901389,4640,267.2,5.1,-0.206,1,204.10059
202,20,2,220520,224101,42.17124216,-90.10903924,3916,255.2,4.2,-0.463,1,204.10059
203,20,3,220520,224102,42.17123394,-90.10906091,4143,242.9,3.9,-0.154,1,204.10059
204,20,4,220520,224103,42.17122694,-90.10907487,4043,235.9,2.7,-0.617,1,203.2002
205,20,5,220520,224104,42.17124925,-90.10906945,4106,10.2,4.9,1.132,1,204.10059
