index,acc_ave,distance,speed,time,medianSpin,medianVibration
139,13.679333333333332,554.0129999999999,61.55699999999999,9,281.79999999999995,5573.0
140,13.775666666666666,557.9145,61.9905,9,282.1,5314.5
141,13.792666666666666,558.603,62.06699999999999,9,281.7,5338.5
142,13.628333333333334,551.9475,61.3275,9,281.70000000000005,5452.5
143,15.293755102040818,18360.153000000002,374.69700000000006,49,282.5,5365.5
144,13.554666666666668,548.964,60.99600000000001,9,285.3,5668.5
145,13.798333333333332,558.8325,62.0925,9,302.05,5620.0
146,13.622666666666667,551.7180000000001,61.30200000000001,9,314.8,5545.0
147,13.826666666666666,559.98,62.22,9,311.65,5657.5
148,13.838,560.439,62.270999999999994,9,291.25,5892.5
149,13.894666666666668,562.734,62.526,9,270.55,5454.0
150,11.939666666666666,483.55649999999997,53.7285,9,269.75,5425.0
151,12.206000000000001,494.3430000000001,54.92700000000001,9,270.05,5307.0
152,11.843333333333335,479.6550000000001,53.29500000000001,9,270.05,5160.0
153,11.792333333333334,477.5895,53.0655,9,270.25,5329.5
154,12.93838775510204,15532.5345,316.9905,49,269.95000000000005,5486.0
155,11.792333333333334,477.5895,53.0655,9,270.5,5523.0
156,11.985,485.3925,53.9325,9,269.9,5154.0
157,8.726666666666667,353.43,39.27,9,261.55,4993.0
158,13.679333333333332,554.0129999999999,61.55699999999999,9,281.79999999999995,5573.0
159,13.775666666666666,557.9145,61.9905,9,282.1,5314.5
160,13.792666666666666,558.603,62.06699999999999,9,281.7,5338.5
161,13.628333333333334,551.9475,61.3275,9,281.70000000000005,5452.5
162,15.293755102040818,18360.153000000002,374.69700000000006,49,282.5,5365.5
163,13.554666666666668,548.964,60.99600000000001,9,285.3,5668.5
164,13.798333333333332,558.8325,62.0925,9,302.05,5620.0
165,13.622666666666667,551.7180000000001,61.30200000000001,9,314.8,5545.0
166,13.826666666666666,559.98,62.22,9,311.65,5657.5
167,13.838,560.439,62.270999999999994,9,291.25,5892.5
168,13.894666666666668,562.734,62.526,9,270.55,5454.0
169,11.939666666666666,483.55649999999997,53.7285,9,269.75,5425.0
170,12.206000000000001,494.3430000000001,54.92700000000001,9,270.05,5307.0
171,11.843333333333335,479.6550000000001,53.29500000000001,9,270.05,5160.0
172,11.792333333333334,477.5895,53.0655,9,270.25,5329.5
173,12.93838775510204,15532.5345,316.9905,49,269.95000000000005,5486.0
174,11.792333333333334,477.5895,53.0655,9,270.5,5523.0
175,11.985,485.3925,53.9325,9,269.9,5154.0
176,8.726666666666667,353.43,39.27,9,261.55,4993.0
177,3.3660000000000005,136.32300000000004,15.147000000000004,9,199.55,5515.5
178,9.916897959183673,11905.236,242.96400000000003,49,272.2,5089.5
179,12.58,509.49,56.61,9,272.25,5357.5
180,13.464,545.292,60.588,9,270.15,5415.0
181,13.877666666666668,562.0455000000001,62.44950000000001,9,270.45,5635.0
182,13.77,557.685,61.964999999999996,9,270.55,5370.5
183,15.238591836734694,18293.9295,373.34549999999996,49,270.0,5536.5
184,13.843666666666667,560.6685,62.2965,9,270.1,5618.0
185,13.673666666666666,553.7835,61.5315,9,270.45,5689.0
186,13.684999999999999,554.2425,61.582499999999996,9,270.25,5479.5
187,13.736,556.308,61.812,9,270.05,5454.0
188,15.138673469387756,18173.9775,370.89750000000004,49,270.5,5719.0
189,13.724666666666668,555.849,61.761,9,270.15,5652.5
190,13.843666666666667,560.6685,62.2965,9,270.4,5563.0
191,13.662333333333333,553.3245,61.48049999999999,9,269.8,5761.5
192,13.792666666666666,558.603,62.06699999999999,9,269.04999999999995,5241.0
193,13.628333333333334,551.9475,61.3275,9,270.0,5335.0
194,15.186551020408164,18231.4545,372.0705,49,269.6,5580.0
195,13.656666666666668,553.095,61.455000000000005,9,270.3,5610.0
196,13.333666666666666,540.0135,60.0015,9,269.6,5304.0
197,14.625666666666664,592.3394999999999,65.81549999999999,9,270.7,4809.0
198,13.900333333333336,562.9635000000001,62.551500000000004,9,270.2,5333.5
199,14.970061224489797,17971.558500000003,366.76650000000006,49,270.4,5276.5
200,14.274333333333335,578.1105,64.2345,9,270.3,5166.0
201,13.985333333333333,566.406,62.934,9,270.25,5484.0
202,13.781333333333333,558.144,62.016,9,269.75,5188.5
203,13.775666666666666,557.9145,61.9905,9,270.4,5358.5
204,15.136591836734695,18171.4785,370.84650000000005,49,270.0,5315.0
205,13.781333333333333,558.144,62.016,9,270.3,5118.5
206,13.89466666666667,562.7340000000002,62.52600000000002,9,270.25,5339.0
207,13.781333333333333,558.144,62.016,9,270.25,5284.0
208,13.889000000000001,562.5045,62.5005,9,270.85,5547.0
209,13.588897959183674,16313.472000000002,332.92800000000005,49,270.2,4791.0
210,13.583000000000002,550.1115000000001,61.12350000000001,9,270.35,5423.5
211,14.059000000000001,569.3895,63.2655,9,270.5,5141.5
212,13.617,551.4885,61.276500000000006,9,270.6,5576.5
213,13.77,557.685,61.964999999999996,9,270.0,5406.0
214,13.775666666666666,557.9145,61.9905,9,270.45,5532.0
215,15.241714285714286,18297.678,373.422,49,270.15,5566.0
216,13.877666666666668,562.0455000000001,62.44950000000001,9,270.4,5136.0
217,13.832333333333333,560.2094999999999,62.24549999999999,9,269.95000000000005,5388.0
218,13.781333333333333,558.144,62.016,9,270.65,5277.0
219,13.826666666666666,559.98,62.22,9,270.4,5490.0
220,15.189673469387754,18235.202999999998,372.14699999999993,49,270.4,5444.0
221,13.673666666666666,553.7835,61.5315,9,270.25,5344.5
222,13.849333333333334,560.898,62.322,9,270.2,5378.0
223,13.622666666666667,551.7180000000001,61.30200000000001,9,270.55,5457.0
224,14.002333333333333,567.0944999999999,63.01049999999999,9,269.85,5420.5
225,15.493591836734694,18600.057,379.593,49,271.0,5385.5
226,13.679333333333334,554.013,61.557,9,270.85,4966.0
227,13.039,528.0794999999999,58.67549999999999,9,271.65,5380.0
228,13.673666666666666,553.7835,61.5315,9,271.1,5379.0
229,14.002333333333333,567.0944999999999,63.01049999999999,9,271.25,5202.0
230,13.684999999999999,554.2425,61.582499999999996,9,271.5,5351.0
231,13.883333333333335,562.2750000000001,62.47500000000001,9,271.55,5433.5
232,13.781333333333333,558.144,62.016,9,270.95,5476.0
233,13.781333333333333,558.144,62.016,9,271.25,5240.5
234,13.668,553.554,61.506,9,270.9,5458.5
235,13.838,560.439,62.270999999999994,9,270.65,5121.0
236,15.085591836734693,18110.253,369.59700000000004,49,270.3,5340.0
237,13.701999999999998,554.9309999999999,61.65899999999999,9,270.4,5562.5
238,13.458333333333332,545.0625,60.5625,9,270.45000000000005,5596.0
239,14.631333333333332,592.569,65.841,9,270.55,4888.5
240,13.911666666666667,563.4225,62.6025,9,270.9,5022.5
241,10.909836734693876,13097.258999999998,267.29099999999994,49,270.29999999999995,4844.0
242,11.310666666666666,458.082,50.897999999999996,9,270.54999999999995,5336.5
243,12.733,515.6865,57.298500000000004,9,269.75,5529.0
244,15.158333333333333,613.9125,68.2125,9,269.55,4952.5
245,12.614,510.867,56.763000000000005,9,269.35,5498.5
246,15.290632653061227,18356.404500000004,374.6205000000001,49,268.55,5389.0
247,13.77,557.685,61.964999999999996,9,269.45,5449.0
248,13.872000000000002,561.816,62.42400000000001,9,268.70000000000005,5125.5
249,13.838,560.439,62.270999999999994,9,269.1,5136.0
250,13.792666666666666,558.603,62.06699999999999,9,269.0,5248.0
251,15.033551020408165,18047.778000000002,368.32200000000006,49,269.95000000000005,5368.5
252,14.699333333333335,595.3230000000001,66.147,9,270.05,5175.0
253,13.441333333333333,544.374,60.486000000000004,9,270.0,5274.5
254,14.325333333333333,580.1759999999999,64.464,9,269.5,4989.0
255,9.423666666666668,381.65850000000006,42.40650000000001,9,268.95,5012.5
