Id,Index,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,deltaSpin,deltaVelocity,isCurve
4712,471,10620,133449,40.17711,-90.0581,4136,0,0,-0.051,0,-0.1,0
4713,471,10620,133450,40.17711,-90.0581,4120,0,0,0,0,0,0
4714,471,10620,133451,40.17711,-90.0581,4199,0,0,0,0,0,0
4715,471,10620,133452,40.17711,-90.0581,4163,0,0,0,0,0,0
4716,471,10620,133453,40.17711,-90.0581,4150,0,0,0,0,0,0
4717,471,10620,133454,40.17711,-90.0581,4213,0,0,0,0,0,0
4718,471,10620,133455,40.17711,-90.0581,4171,0,0,0,0,0,0
4719,471,10620,133456,40.17711,-90.0581,4106,0,0,0,0,0,0
4720,472,10620,133457,40.17710954,-90.0581,4163,0,0,0,0,0,0
4721,472,10620,133458,40.17710954,-90.0581,4132,0,0,0,0,0,0
4722,472,10620,133459,40.17710954,-90.0581,4150,0,0,0,0,0,0
4723,472,10620,133500,40.17710954,-90.0581,4127,0,0,0,0,0,0
4724,472,10620,133501,40.17710954,-90.0581,4159,0,0,0,0,0,0
4725,472,10620,133502,40.17710954,-90.0581,4137,0,0,0,0,0,0
4726,472,10620,133503,40.17710954,-90.0581,4154,0,0,0,0,0,0
4727,472,10620,133504,40.17710954,-90.0581,4120,0,0,0,0,0,0
4728,472,10620,133505,40.17711,-90.0581,4202,0,0.1,0.051,0,0.1,0
4729,472,10620,133506,40.17711,-90.0581,4085,0,0,-0.051,0,-0.1,0
4730,473,10620,133512,40.17710954,-90.0581,4177,0,0,0,0,0,0
4731,473,10620,133513,40.17710954,-90.0581,4128,0,0,0,0,0,0
4732,473,10620,133514,40.17711,-90.0581,4167,0,0.1,0.051,0,0.1,0
4733,473,10620,133515,40.17711,-90.0581,4117,0,0,-0.051,0,-0.1,0
4734,473,10620,133516,40.17711,-90.0581,4137,0,0,0,0,0,0
4735,473,10620,133517,40.17711,-90.0581,4124,0,0,0,0,0,0
4736,473,10620,133518,40.17711,-90.0581,4083,0,0,0,0,0,0
4737,473,10620,133519,40.17711,-90.0581,4143,0,0,0,0,0,0
4738,473,10620,133520,40.17711,-90.0581,4104,0,0,0,0,0,0
4739,473,10620,133521,40.17711,-90.0581,4165,0,0,0,0,0,0
4740,474,10620,133522,40.17711,-90.0581,4171,0,0,0,0,0,0
4741,474,10620,133523,40.17711,-90.0581,4168,0,0,0,0,0,0
4742,474,10620,133524,40.17711,-90.0581,4153,0,0,0,0,0,0
4743,474,10620,133525,40.17711,-90.0581,4112,0,0,0,0,0,0
4744,474,10620,133526,40.17711,-90.0581,4159,0,0,0,0,0,0
4745,474,10620,133527,40.17711,-90.0581,4128,0,0,0,0,0,0
4746,474,10620,133528,40.17711,-90.0581,4141,0,0,0,0,0,0
4747,474,10620,133529,40.17711,-90.0581,4132,0,0,0,0,0,0
4748,474,10620,133530,40.17711,-90.0581,4139,0,0,0,0,0,0
4749,474,10620,133531,40.17711,-90.0581,4147,0,0,0,0,0,0
4750,475,10620,133532,40.17709954,-90.0581,4178,0,0,0,0,0,0
4751,475,10620,133533,40.17709954,-90.0581,4177,0,0,0,0,0,0
4752,475,10620,133534,40.17709954,-90.0581,4113,0,0,0,0,0,0
4753,475,10620,133535,40.17709954,-90.0581,4194,0,0,0,0,0,0
4754,475,10620,133536,40.17709954,-90.0581,4134,0,0,0,0,0,0
4755,475,10620,133537,40.17709954,-90.0581,4138,0,0,0,0,0,0
4756,475,10620,133538,40.1771,-90.0581,4207,0,0.1,0.051,0,0.1,0
4757,475,10620,133539,40.1771,-90.0581,4134,0,0,-0.051,0,-0.1,0
4758,475,10620,133540,40.1771,-90.0581,4151,0,0,0,0,0,0
4759,475,10620,133541,40.1771,-90.0581,4140,0,0,0,0,0,0
4760,476,10620,133546,40.17709954,-90.0581,4157,0,0,0,0,0,0
4761,476,10620,133547,40.17709954,-90.0581,4187,0,0,0,0,0,0
4762,476,10620,133548,40.17709954,-90.0581,4153,0,0,0,0,0,0
4763,476,10620,133549,40.17709954,-90.0581,4165,0,0,0,0,0,0
4764,476,10620,133550,40.1771,-90.0581,4159,0,0.1,0.051,0,0.1,0
4765,476,10620,133551,40.1771,-90.0581,4175,0,0,-0.051,0,-0.1,0
4766,476,10620,133552,40.1771,-90.0581,4160,0,0,0,0,0,0
4767,476,10620,133553,40.1771,-90.0581,4161,0,0,0,0,0,0
4768,476,10620,133554,40.1771,-90.0581,4151,0,0,0,0,0,0
4769,476,10620,133555,40.1771,-90.0581,4147,0,0,0,0,0,0
4770,477,10620,133556,40.1771,-90.0581,4105,0,0,0,0,0,0
4771,477,10620,133557,40.1771,-90.0581,4151,0,0,0,0,0,0
4772,477,10620,133558,40.1771,-90.0581,4169,0,0,0,0,0,0
4773,477,10620,133559,40.1771,-90.0581,4116,0,0,0,0,0,0
4774,477,10620,133600,40.1771,-90.0581,4216,0,0,0,0,0,0
4775,477,10620,133601,40.1771,-90.0581,4203,0,0,0,0,0,0
4776,477,10620,133602,40.1771,-90.0581,4150,0,0,0,0,0,0
4777,477,10620,133603,40.1771,-90.0581,4132,0,0,0,0,0,0
4778,477,10620,133604,40.1771,-90.0581,4160,0,0,0,0,0,0
4779,477,10620,133605,40.1771,-90.0581,4094,0,0,0,0,0,0
4780,478,10620,133606,40.17709954,-90.0581,4154,0,0,0,0,0,0
4781,478,10620,133607,40.17709954,-90.0581,4122,0,0,0,0,0,0
4782,478,10620,133608,40.1771,-90.0581,4123,0,0.1,0.051,0,0.1,0
4783,478,10620,133609,40.1771,-90.0581,4122,0,0,-0.051,0,-0.1,0
4784,478,10620,133610,40.1771,-90.0581,4179,0,0,0,0,0,0
4785,478,10620,133611,40.1771,-90.0581,4179,0,0,0,0,0,0
4786,478,10620,133612,40.1771,-90.0581,4157,0,0,0,0,0,0
4787,478,10620,133613,40.1771,-90.0581,4134,0,0,0,0,0,0
4788,478,10620,133614,40.1771,-90.0581,4146,0,0,0,0,0,0
4789,478,10620,133615,40.1771,-90.0581,4148,0,0,0,0,0,0
4790,479,10620,133620,40.17708861,-90.0581,4136,0,0,0,0,0,0
4791,479,10620,133621,40.17708861,-90.0581,4113,0,0,0,0,0,0
4792,479,10620,133622,40.17708861,-90.0581,4178,0,0,0,0,0,0
4793,479,10620,133623,40.17708907,-90.0581,4143,0,0.1,0.051,0,0.1,0
4794,479,10620,133624,40.17708954,-90.0581,4088,0,0.1,0,0,0,0
4795,479,10620,133625,40.17708954,-90.0581,4150,0,0,-0.051,0,-0.1,0
4796,479,10620,133626,40.17708954,-90.0581,4141,0,0,0,0,0,0
4797,479,10620,133627,40.17708954,-90.0581,4180,0,0,0,0,0,0
4798,479,10620,133628,40.17709,-90.0581,4114,0,0.1,0.051,0,0.1,0
4799,479,10620,133629,40.17709,-90.0581,4161,0,0,-0.051,0,-0.1,0
4800,480,10620,133630,40.17709,-90.0581,4200,0,0,0,0,0,0
4801,480,10620,133631,40.17709,-90.0581,4139,0,0,0,0,0,0
4802,480,10620,133632,40.17709,-90.0581,4166,0,0,0,0,0,0
4803,480,10620,133633,40.17709,-90.0581,4106,0,0,0,0,0,0
4804,480,10620,133634,40.17709,-90.0581,4149,0,0,0,0,0,0
4805,480,10620,133635,40.17709,-90.0581,4138,0,0,0,0,0,0
4806,480,10620,133636,40.17709,-90.0581,4130,0,0,0,0,0,0
4807,480,10620,133637,40.17709,-90.0581,4158,0,0,0,0,0,0
4808,480,10620,133638,40.17709,-90.0581,4109,0,0,0,0,0,0
4809,480,10620,133639,40.17709,-90.0581,4148,0,0,0,0,0,0
4810,481,10620,133640,40.17708954,-90.0581,4184,0,0,0,0,0,0
4811,481,10620,133641,40.17708954,-90.0581,4163,0,0,0,0,0,0
4812,481,10620,133642,40.17708954,-90.0581,4146,0,0,0,0,0,0
4813,481,10620,133643,40.17708954,-90.0581,4188,0,0,0,0,0,0
4814,481,10620,133644,40.17709,-90.0581,4131,0,0.1,0.051,0,0.1,0
4815,481,10620,133645,40.17709,-90.0581,4181,0,0,-0.051,0,-0.1,0
4816,481,10620,133646,40.17709,-90.0581,4206,0,0,0,0,0,0
